UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Antoine Eripret,@antoineripret,2021-07-30T09:21:19.000Z,"Antoine Eripret
@antoineripret
·
30 juil.","En réponse à 
@nicoseosem
Merci du partage Nico! 
1
1",😃,1,,1,[],https://twitter.com/antoineripret/status/1421038186759864321
Victor,@VictorGlogowski,2021-07-30T09:46:05.000Z,"Victor
@VictorGlogowski
·
30 juil.","Très bonne idée comme plugin !
Question : vous récoltez les volumes où ? Google Keywords Planner ? Autre ?
1",🙂,1,,,[],https://twitter.com/VictorGlogowski/status/1421044417809592323
Ralaros,@DaEnzymes,2021-07-31T22:27:38.000Z,"Ralaros
@DaEnzymes
·
1 août","Haaaa,quand même !!
Bernard-Henri Lévy
@BHL
 · 31 juil.
La foule manquant lyncher un pharmacien… Le goût de la violence… Des «Qui?» conspirationnistes… Un quarteron de politiciens en déroute alliés pour aviver la haine… Le pire des #GiletsJaunes en renfort des #AntiPassSanitaire… Nos années 30 commencent peut être aujourd’hui.
3
2
21",⌛ 🍿,3,2,21,['https://pbs.twimg.com/profile_images/810142191851016192/Ju6Wj29n_mini.jpg'],https://twitter.com/DaEnzymes/status/1421598454296551426
RoOsTer,@RoosterV4,2021-07-31T22:32:02.000Z,"RoOsTer
@RoosterV4
·
1 août","Magique, l’empilement de keywords en un seul touite 
3
15",🐓 🤩,3,,15,[],https://twitter.com/RoosterV4/status/1421599564327526411
OUDJAT,@OUDJAT13,2021-07-31T18:50:43.000Z,"OUDJAT
@OUDJAT13
·
31 juil.","Et on me demande de croire encore en l'humanité...? 
Cela fait bien longtemps que je n'ai plus la prétention de participer à son amélioration comme certains l'entendent. 

Que chacun se trouve un miroir afin de commencer le travail sur soi.
Dr Hélène Rossinot
@helenerossinot
 · 31 juil.
Quelle honte  Ca suffit maintenant ! Agression du pharmacien, insultes de « collabos » envers les soignants… C’est intolérable ! 
6
3
7",🌚 🌞 😁 🤮 🤮 🤮 🤬,6,3,7,"['https://pbs.twimg.com/profile_images/1414134587882676224/1NslXIpS_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1421471003356581888/pu/img/dujBQaZ1seFiR_eR.jpg']",https://twitter.com/OUDJAT13/status/1421543864729587715
Olivier Antoine Cald,@Olivancalderone,2021-07-31T19:24:16.000Z,"Olivier Antoine Cald
@Olivancalderone
·
31 juil.","Quelques keywords dans le désordre : A10, uranium appauvri, ogive de .20mm, 20 secondes de rafale ! Brrrrrrrr 
1",😁,1,,,[],https://twitter.com/Olivancalderone/status/1421552309276925954
Mediatree,@mediatree_fr,2021-08-02T14:57:07.000Z,"Mediatree
@mediatree_fr
·
2 août","Quelles sont les #actualités de ce mois de Juillet ? 
Voici notre recap’ de la médiatisation en #TV et #Radio de l’actualité du mois
 Vous aussi surveillez tous les sujets d’actualité grâce à notre plateforme #keywords !

Plus d'informations  http://mediatree.fr

#veille
1
3
4",👉 ➡,1,3,4,['https://pbs.twimg.com/media/E7yz3yYWUAMFxw1?format=jpg&name=small'],https://twitter.com/mediatree_fr/status/1422209853733359616
Mysti,@SoMysti,2021-08-02T10:28:31.000Z,"Mysti
@SoMysti
·
2 août","En réponse à 
@SoMysti
D'une part : non, viser un public ""gamer"" veut bel et bien dire quelque chose, dans les faits on va chercher des personnes qui possèdent des produits identifiés comme essentiels aux gamers et pas tous ont ces produits. Ensuite on va aller les chercher d'une certaine façon ...
1
2",📖,1,,2,[],https://twitter.com/SoMysti/status/1422142259995320320
Mysti,@SoMysti,2021-08-02T10:28:31.000Z,"Mysti
@SoMysti
·
2 août","Parler ""leur langage"", être dans ""leur culture"" (coucou Mario Kart, Pokémon, Fortnite, Switch, PlayStation, Final Fantasy et oui vous êtes des keywords très utiles) et on va axer donc la communication du produit/de l'information différemment.
1
2",📖,1,,2,[],https://twitter.com/SoMysti/status/1422142261505273856
le bon bro maxou,@FrairMaxou,2021-08-02T10:40:38.000Z,"le bon bro maxou
@FrairMaxou
·
2 août","Coucou, ça fait longtemps
twitch.tv
FrairMaxou - Twitch
Je live à mes heures perdues depuis Tokyo.
2
2",,2,,2,['https://pbs.twimg.com/card_img/1448948545265016833/A3dROygz?format=png&name=240x240'],https://twitter.com/FrairMaxou/status/1422145308910366722
barth thorsten,@beethorsten,2021-08-02T13:06:45.000Z,"barth thorsten
@beethorsten
·
2 août","Super plaisir de te revoir. Et en mode forçage ^^

https://amazon.co.jp/VOX-ヴォックス-ヘッドホン・ギター・アンプ-アンプラグ2-amPlug/dp/B00NAUHX1G/ref=mp_s_a_1_1?dchild=1&keywords=vox+ac30&qid=1627909532&sprefix=vox+a&sr=8-1
1",,,,1,[],https://twitter.com/beethorsten/status/1422182079694090242
Romuald THION,@gromuald,2021-08-02T19:13:05.000Z,"Romuald THION
@gromuald
·
2 août","En réponse à 
@SebiwanC
Ya des centaines de constantes à la sémantique qui part dans tous les sens
1
1",,1,,1,[],https://twitter.com/gromuald/status/1422274271582343178
Romuald THION,@gromuald,2021-08-02T19:14:09.000Z,"Romuald THION
@gromuald
·
2 août","Sql ya plein de keywords mais là c'est un autre ordre de grandeur
1
2",,1,,2,[],https://twitter.com/gromuald/status/1422274539493363717
Tiph,@___namoy,2021-08-03T02:46:46.000Z,"Tiph
@___namoy
·
3 août","Du coup j’ai une note avec des keywords pour chaque storytime et les personnes randoms et bienveillantes que j’ai rencontré
Tiph
@___namoy
 · 3 août
2am and I miss Korea hours open (bc i was watching a YouTube video)
1",🦋 🦋,,,1,['https://pbs.twimg.com/profile_images/1442255395985268737/fqwp1bFj_mini.jpg'],https://twitter.com/___namoy/status/1422388443007553537
manawa,@miss_loko_,2021-08-09T19:03:11.000Z,"manawa
@miss_loko_
·
9 août","En réponse à 
@MondesirZouzou
Les derniers sont souvent des fils à maman; même s’ils essaient, ça pourrait être difficile. Quant au 1er s’il n’est pas suffisamment autoritaire c’est mort
1",,1,,,[],https://twitter.com/miss_loko_/status/1424808496378306569
MZ,@MondesirZouzou,2021-08-09T19:05:32.000Z,"MZ
@MondesirZouzou
·
9 août","Comme je dis ce sont des clichés...
A l'impossible nul n'est tenu.

Les Keywords restent Personnalité et sens de priorité.

Je suis un dernier et crois moi ceux qui me connaissent savent que je suis tres loin dun.fils a daronne. Apres jai un caractere bien trempé",,,,,[],https://twitter.com/MondesirZouzou/status/1424809084583284745
